Tweet,Sarcasm,word_tokens,char_tokens,sentence_tokens,subword_tokens,lemmatized_tweet
"Fantastic service yet again from EE. 1st you upgrade me to the wrong number, and now you cut me off entirely!!",yes,"['fantastic', 'service', 'yet', 'again', 'from', 'ee', '.', '1st', 'you', 'upgrade', 'me', 'to', 'the', 'wrong', 'number', ',', 'and', 'now', 'you', 'cut', 'me', 'off', 'entirely', '!', '!']","['F', 'a', 'n', 't', 'a', 's', 't', 'i', 'c', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'y', 'e', 't', ' ', 'a', 'g', 'a', 'i', 'n', ' ', 'f', 'r', 'o', 'm', ' ', 'E', 'E', '.', ' ', '1', 's', 't', ' ', 'y', 'o', 'u', ' ', 'u', 'p', 'g', 'r', 'a', 'd', 'e', ' ', 'm', 'e', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 'w', 'r', 'o', 'n', 'g', ' ', 'n', 'u', 'm', 'b', 'e', 'r', ',', ' ', 'a', 'n', 'd', ' ', 'n', 'o', 'w', ' ', 'y', 'o', 'u', ' ', 'c', 'u', 't', ' ', 'm', 'e', ' ', 'o', 'f', 'f', ' ', 'e', 'n', 't', 'i', 'r', 'e', 'l', 'y', '!', '!']","['Fantastic service yet again from EE.', '1st you upgrade me to the wrong number, and now you cut me off entirely!', '!']","['fantastic', 'service', 'yet', 'again', 'from', 'ee', '.', '1st', 'you', 'upgrade', 'me', 'to', 'the', 'wrong', 'number', ',', 'and', 'now', 'you', 'cut', 'me', 'off', 'entirely', '!', '!']","Fantastic service yet again from EE . 1st you upgrade me to the wrong number , and now you cut me off entirely ! !"
Not sure if that was or. I will take it! face_with_tears_of_joy,yes,"['not', 'sure', 'if', 'that', 'was', 'or', '.', 'i', 'will', 'take', 'it', '!', 'face', '_', 'with', '_', 'tears', '_', 'of', '_', 'joy']","['N', 'o', 't', ' ', 's', 'u', 'r', 'e', ' ', 'i', 'f', ' ', 't', 'h', 'a', 't', ' ', 'w', 'a', 's', ' ', 'o', 'r', '.', ' ', 'I', ' ', 'w', 'i', 'l', 'l', ' ', 't', 'a', 'k', 'e', ' ', 'i', 't', '!', ' ', 'f', 'a', 'c', 'e', '_', 'w', 'i', 't', 'h', '_', 't', 'e', 'a', 'r', 's', '_', 'o', 'f', '_', 'j', 'o', 'y']","['Not sure if that was or.', 'I will take it!', 'face_with_tears_of_joy']","['not', 'sure', 'if', 'that', 'was', 'or', '.', 'i', 'will', 'take', 'it', '!', 'face', '_', 'with', '_', 'tears', '_', 'of', '_', 'joy']",Not sure if that wa or . I will take it ! face_with_tears_of_joy
Barely 9 am and already shaking with rage.,yes,"['barely', '9', 'am', 'and', 'already', 'shaking', 'with', 'rage', '.']","['B', 'a', 'r', 'e', 'l', 'y', ' ', '9', ' ', 'a', 'm', ' ', 'a', 'n', 'd', ' ', 'a', 'l', 'r', 'e', 'a', 'd', 'y', ' ', 's', 'h', 'a', 'k', 'i', 'n', 'g', ' ', 'w', 'i', 't', 'h', ' ', 'r', 'a', 'g', 'e', '.']",['Barely 9 am and already shaking with rage.'],"['barely', '9', 'am', 'and', 'already', 'shaking', 'with', 'rage', '.']",Barely 9 am and already shaking with rage .
I guess that proves it then. Black folks have no cause for complaint.,yes,"['i', 'guess', 'that', 'proves', 'it', 'then', '.', 'black', 'folks', 'have', 'no', 'cause', 'for', 'complaint', '.']","['I', ' ', 'g', 'u', 'e', 's', 's', ' ', 't', 'h', 'a', 't', ' ', 'p', 'r', 'o', 'v', 'e', 's', ' ', 'i', 't', ' ', 't', 'h', 'e', 'n', '.', ' ', 'B', 'l', 'a', 'c', 'k', ' ', 'f', 'o', 'l', 'k', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'n', 'o', ' ', 'c', 'a', 'u', 's', 'e', ' ', 'f', 'o', 'r', ' ', 'c', 'o', 'm', 'p', 'l', 'a', 'i', 'n', 't', '.']","['I guess that proves it then.', 'Black folks have no cause for complaint.']","['i', 'guess', 'that', 'proves', 'it', 'then', '.', 'black', 'folks', 'have', 'no', 'cause', 'for', 'complaint', '.']",I guess that prof it then . Black folk have no cause for complaint .
Does this tweet need a tag,yes,"['does', 'this', 't', '##wee', '##t', 'need', 'a', 'tag']","['D', 'o', 'e', 's', ' ', 't', 'h', 'i', 's', ' ', 't', 'w', 'e', 'e', 't', ' ', 'n', 'e', 'e', 'd', ' ', 'a', ' ', 't', 'a', 'g']",['Does this tweet need a tag'],"['does', 'this', 't', '##wee', '##t', 'need', 'a', 'tag']",Does this tweet need a tag
both. Wont be using you again. Made a formal complaint via email too. Not heard anything.,yes,"['both', '.', 'won', '##t', 'be', 'using', 'you', 'again', '.', 'made', 'a', 'formal', 'complaint', 'via', 'email', 'too', '.', 'not', 'heard', 'anything', '.']","['b', 'o', 't', 'h', '.', ' ', 'W', 'o', 'n', 't', ' ', 'b', 'e', ' ', 'u', 's', 'i', 'n', 'g', ' ', 'y', 'o', 'u', ' ', 'a', 'g', 'a', 'i', 'n', '.', ' ', 'M', 'a', 'd', 'e', ' ', 'a', ' ', 'f', 'o', 'r', 'm', 'a', 'l', ' ', 'c', 'o', 'm', 'p', 'l', 'a', 'i', 'n', 't', ' ', 'v', 'i', 'a', ' ', 'e', 'm', 'a', 'i', 'l', ' ', 't', 'o', 'o', '.', ' ', 'N', 'o', 't', ' ', 'h', 'e', 'a', 'r', 'd', ' ', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', '.']","['both.', 'Wont be using you again.', 'Made a formal complaint via email too.', 'Not heard anything.']","['both', '.', 'won', '##t', 'be', 'using', 'you', 'again', '.', 'made', 'a', 'formal', 'complaint', 'via', 'email', 'too', '.', 'not', 'heard', 'anything', '.']",both . Wont be using you again . Made a formal complaint via email too . Not heard anything .
Fuuuuuuuuck this shit screams thug!!,yes,"['fu', '##u', '##u', '##u', '##u', '##u', '##u', '##uck', 'this', 'shit', 'screams', 'thug', '!', '!']","['F', 'u', 'u', 'u', 'u', 'u', 'u', 'u', 'u', 'c', 'k', ' ', 't', 'h', 'i', 's', ' ', 's', 'h', 'i', 't', ' ', 's', 'c', 'r', 'e', 'a', 'm', 's', ' ', 't', 'h', 'u', 'g', '!', '!']","['Fuuuuuuuuck this shit screams thug!', '!']","['fu', '##u', '##u', '##u', '##u', '##u', '##u', '##uck', 'this', 'shit', 'screams', 'thug', '!', '!']",Fuuuuuuuuck this shit scream thug ! !
66 UEs from Staniel and he wins in straights. But now let us talk about how talented and promising Chung is.,yes,"['66', 'u', '##es', 'from', 'stan', '##iel', 'and', 'he', 'wins', 'in', 'straight', '##s', '.', 'but', 'now', 'let', 'us', 'talk', 'about', 'how', 'talented', 'and', 'promising', 'chung', 'is', '.']","['6', '6', ' ', 'U', 'E', 's', ' ', 'f', 'r', 'o', 'm', ' ', 'S', 't', 'a', 'n', 'i', 'e', 'l', ' ', 'a', 'n', 'd', ' ', 'h', 'e', ' ', 'w', 'i', 'n', 's', ' ', 'i', 'n', ' ', 's', 't', 'r', 'a', 'i', 'g', 'h', 't', 's', '.', ' ', 'B', 'u', 't', ' ', 'n', 'o', 'w', ' ', 'l', 'e', 't', ' ', 'u', 's', ' ', 't', 'a', 'l', 'k', ' ', 'a', 'b', 'o', 'u', 't', ' ', 'h', 'o', 'w', ' ', 't', 'a', 'l', 'e', 'n', 't', 'e', 'd', ' ', 'a', 'n', 'd', ' ', 'p', 'r', 'o', 'm', 'i', 's', 'i', 'n', 'g', ' ', 'C', 'h', 'u', 'n', 'g', ' ', 'i', 's', '.']","['66 UEs from Staniel and he wins in straights.', 'But now let us talk about how talented and promising Chung is.']","['66', 'u', '##es', 'from', 'stan', '##iel', 'and', 'he', 'wins', 'in', 'straight', '##s', '.', 'but', 'now', 'let', 'us', 'talk', 'about', 'how', 'talented', 'and', 'promising', 'chung', 'is', '.']",66 UEs from Staniel and he win in straight . But now let u talk about how talented and promising Chung is .
totally surprising to every husker fan,yes,"['totally', 'surprising', 'to', 'every', 'hu', '##ske', '##r', 'fan']","['t', 'o', 't', 'a', 'l', 'l', 'y', ' ', 's', 'u', 'r', 'p', 'r', 'i', 's', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'e', 'v', 'e', 'r', 'y', ' ', 'h', 'u', 's', 'k', 'e', 'r', ' ', 'f', 'a', 'n']",['totally surprising to every husker fan'],"['totally', 'surprising', 'to', 'every', 'hu', '##ske', '##r', 'fan']",totally surprising to every husker fan
Haha got to love the enthusiasm,yes,"['ha', '##ha', 'got', 'to', 'love', 'the', 'enthusiasm']","['H', 'a', 'h', 'a', ' ', 'g', 'o', 't', ' ', 't', 'o', ' ', 'l', 'o', 'v', 'e', ' ', 't', 'h', 'e', ' ', 'e', 'n', 't', 'h', 'u', 's', 'i', 'a', 's', 'm']",['Haha got to love the enthusiasm'],"['ha', '##ha', 'got', 'to', 'love', 'the', 'enthusiasm']",Haha got to love the enthusiasm
