Tweet,Sarcasm (yes/no)
"Fantastic service yet again from EE. 1st you upgrade me to the wrong number, and now you cut me off entirely!!",yes
Not sure if that was or  . I'll take it! ,yes
Barely 9 am and already shaking with rage.,yes
I guess that proves it then. Black folks have no cause for complaint.,yes
Does this tweet need a tag?,yes
both. Won't be using you again. Made a formal complaint via email too. Not heard anything.,yes
Fuuuuuuuuck this shit screams thug!!,yes
66 UEs from Staniel and he wins in straights. But now let's talk about how talented and promising Chung is.,yes
totally surprising to every husker fan,yes
Haha got to love the enthusiasm,yes
a southern pride advocate but of course it has nothing to do with race,yes
So nice not hearing any rumors that the  aren't in any upcoming deals!,yes
"""We should divide illegals into two lines: one for murderers, one for rapists.""",yes
doesn't even look like that great of a view.,yes
Monday's are always dreadful. Why are Friday's so far away from Monday?!,yes
If you don't find it funny (esp coming from ) you don't get his,yes
is a wonderful thing,yes
I just love when I'm asked my opinion and then told I'm wrong and just trying to argue.,yes
New York,yes
"So, they finally found out! Hun... For me, healthy brain is way important than being rude ;)",yes
I love all the people that text me just because,yes
you have no right to dislike the biggest movie of India Baahubali and like any other small budget movie ,yes
According to buzzfeed I'm really  Who knew?! ,yes
It's like they think they can simply buy off elected officials.,yes
that really is just like outer space,yes
How the hell did he get to the gate? And he was taken alive?,yes
Choke traffic!! HAPPY HUMP DAY EVERYBODY!!! @ H-1 Westbound,yes
Crackers and water !,yes
"You mean she was his ""slave mistress""?",yes
"Thank goodness this has been settled, we all can FINALLY get on w/our regularly schd'd lives!",yes
I agree but most American don't give two shits about what's going on.,yes
R we seeing retaliation for trading for Chase Utley?,yes
is this a paid tweet ?,yes
Girls posses great logic ..,yes
I think it's been a pretty good day so far.,yes
Another racially diverse bear weekend promotion.,yes
what are you talking about? They’re only up 15 one that’s not by much at all,yes
Yes... we must tolerate the intolerant...,yes
God must love stupid people  He made SO many,yes
is redefining funny through her sublime performance in . It's a treat watching her.,yes
"since white Americans did it, ipso facto a priori it can't be terrorism",yes
Camp on Sunday.....what can be better than that?,yes
thanks for sharing ( ),yes
Oh no! You mean improving lives of many Chipotle employees means a slightly more expensive taco?,yes
Hey I don't think you guys have sent me enough emails. Is there a mailing list I can sign up for?,yes
I'm at the library and my phone has been dead for the majority of the day. This is the hell I live in.,yes
"I hate when I tell someone just how intelligent,sexy and amazing I think they are and then find out they don't understand",yes
"Corporate welfare fails again, we're absolutely shocked!",yes
Jordys knee would be fine right now if the game was played at night as originally planned.,yes
Having the best day ever!,yes
The Only Running I do Is LATE,yes
Only 9-2 win to sweep series?!?!?,yes
So when I first joined Twitter it was only because I was a part of some random I Love Vampires fan club. *sigh* those good old days,yes
Love this HD web broadcast of an important Pan Am sports finale.,yes
"jr can scout talent, why bother having him on a talent show. *facepalm*",yes
"I know, I too was being",yes
So sat at terminal 5 having a coffee with the bae   listing to some dope tunes on the radio........,yes
AWWW FUCK CELTIC HAVE ONLY GOT THREE STRIKERS !! FUCCCCCKK AW NAW ! SOMEBODY HELP US !!,yes
"Gotta love the ""automatic response emails"" from State representatives!",yes
tells me the Rockies are going to sweep this series. I appreciate that. I won't waste my time watching.,yes
"""If only the 10 year old had a gun too.""  via",yes
"Oh my God, Huckabee....You're so hilarious...ha ha...ha.......ha.",yes
Hindsight is 20/20.,yes
so glad I took the time to shower before work,yes
Thank you to everyone on snapchat for informing me that school starts tomorrow because I really didn't have a clue,yes
RT :  missed what exactly about McFarland?,yes
Yes,no
And the  experience just gets better and better *she says with a face like thunder* And I get to pay for it too,yes
Whelp Samsung is deciding to bastardize their Note line for vanity.The S6 integrated battery is great,yes
LOL...was confused at 1st! Like wait...what? Then I realize it was when I saw the drama!,yes
oooh that was a good one.,yes
"also, I think you misunderstood my tweet.",yes
No checks (Czechs are welcome).,yes
sell him he's shit,yes
My bad did I go to far with simpleton? Should have stopped at brainwashed.,yes
But Hulk Hogan was Mr. T's tag team partner in 1985. Proof he's not racist in any way!,yes
so I was pretty close to being done and then  failed to install. Back to square 1 with 2.7gb download... Great.,yes
"Well, there's only one solution. If seagulls are as dangerous as the media suggests it's time to send in the SAS",yes
They say write what U kno so...  JK! Wish I could say I was guilty of this but my life is almost too perfect!,yes
Can't sleep! Thinking way too much!,yes
