Tweet,Sarcasm
"Fantastic service yet again from EE. 1st you upgrade me to the wrong number, and now you cut me off entirely!!",yes
Not sure if that was or. I will take it! face_with_tears_of_joy,yes
Barely 9 am and already shaking with rage.,yes
I guess that proves it then. Black folks have no cause for complaint.,yes
Does this tweet need a tag,yes
both. Wont be using you again. Made a formal complaint via email too. Not heard anything.,yes
Fuuuuuuuuck this shit screams thug!!,yes
66 UEs from Staniel and he wins in straights. But now let us talk about how talented and promising Chung is.,yes
totally surprising to every husker fan,yes
Haha got to love the enthusiasm,yes
a southern pride advocate but of course it has nothing to do with race,yes
So nice not hearing any rumors that the  are not in any upcoming deals!,yes
"We should divide illegals into two lines one for murderers, one for rapists.",yes
does not even look like that great of a view.,yes
Mondays are always dreadful. Why are Fridays so far away from Monday!,yes
If you do not find it funny esp coming from  you do not get his,yes
is a wonderful thing,yes
I just love when I am asked my opinion and then told I am wrong and just trying to argue.,yes
New York,yes
"So, they finally found out! Hun... For me, healthy brain is way important than being rude",yes
I love all the people that text me just because,yes
you have no right to dislike the biggest movie of India Baahubali and like any other small budget movie winking_face_with_tongue,yes
According to buzzfeed I am really  Who knew! face_with_tears_of_joy,yes
Its like they think they can simply buy off elected officials.,yes
that really is just like outer space,yes
How the hell did he get to the gate And he was taken alive,yes
Choke traffic!! HAPPY HUMP DAY EVERYBODY!!!  H1 Westbound,yes
Crackers and water !,yes
You mean she was his slave mistress,yes
"Thank goodness this has been settled, we all can FINALLY get on wour regularly schdd lives!",yes
I agree but most American do not give two shits about what is going on.,yes
R we seeing retaliation for trading for Chase Utley,yes
is this a paid tweet ,yes
Girls posses great logic ..,yes
I think it is been a pretty good day so far.,yes
Another racially diverse bear weekend promotion.,yes
what are you talking about Theyre only up 15 one thats not by much at all,yes
Yes... we must tolerate the intolerant...,yes
God must love stupid people  He made SO many,yes
is redefining funny through her sublime performance in . Its a treat watching her.,yes
"since white Americans did it, ipso facto a priori it cannot be terrorism",yes
Camp on Sunday.....what can be better than that,yes
thanks for sharing  ,yes
