Tweet,Sarcasm,tokens
"Fantastic service yet again from EE. 1st you upgrade me to the wrong number, and now you cut me off entirely!!",yes,"['Fantastic', 'service', 'yet', 'again', 'from', 'EE', '.', '1st', 'you', 'upgrade', 'me', 'to', 'the', 'wrong', 'number', ',', 'and', 'now', 'you', 'cut', 'me', 'off', 'entirely', '!', '!']"
Not sure if that was or. I will take it! face_with_tears_of_joy,yes,"['Not', 'sure', 'if', 'that', 'was', 'or', '.', 'I', 'will', 'take', 'it', '!', 'face_with_tears_of_joy']"
Barely 9 am and already shaking with rage.,yes,"['Barely', '9', 'am', 'and', 'already', 'shaking', 'with', 'rage', '.']"
I guess that proves it then. Black folks have no cause for complaint.,yes,"['I', 'guess', 'that', 'proves', 'it', 'then', '.', 'Black', 'folks', 'have', 'no', 'cause', 'for', 'complaint', '.']"
Does this tweet need a tag,yes,"['Does', 'this', 'tweet', 'need', 'a', 'tag']"
both. Wont be using you again. Made a formal complaint via email too. Not heard anything.,yes,"['both', '.', 'Wont', 'be', 'using', 'you', 'again', '.', 'Made', 'a', 'formal', 'complaint', 'via', 'email', 'too', '.', 'Not', 'heard', 'anything', '.']"
Fuuuuuuuuck this shit screams thug!!,yes,"['Fuuuuuuuuck', 'this', 'shit', 'screams', 'thug', '!', '!']"
66 UEs from Staniel and he wins in straights. But now let us talk about how talented and promising Chung is.,yes,"['66', 'UEs', 'from', 'Staniel', 'and', 'he', 'wins', 'in', 'straights', '.', 'But', 'now', 'let', 'us', 'talk', 'about', 'how', 'talented', 'and', 'promising', 'Chung', 'is', '.']"
totally surprising to every husker fan,yes,"['totally', 'surprising', 'to', 'every', 'husker', 'fan']"
Haha got to love the enthusiasm,yes,"['Haha', 'got', 'to', 'love', 'the', 'enthusiasm']"
a southern pride advocate but of course it has nothing to do with race,yes,"['a', 'southern', 'pride', 'advocate', 'but', 'of', 'course', 'it', 'has', 'nothing', 'to', 'do', 'with', 'race']"
So nice not hearing any rumors that the  are not in any upcoming deals!,yes,"['So', 'nice', 'not', 'hearing', 'any', 'rumors', 'that', 'the', 'are', 'not', 'in', 'any', 'upcoming', 'deals', '!']"
"We should divide illegals into two lines one for murderers, one for rapists.",yes,"['We', 'should', 'divide', 'illegals', 'into', 'two', 'lines', 'one', 'for', 'murderers', ',', 'one', 'for', 'rapists', '.']"
does not even look like that great of a view.,yes,"['does', 'not', 'even', 'look', 'like', 'that', 'great', 'of', 'a', 'view', '.']"
Mondays are always dreadful. Why are Fridays so far away from Monday!,yes,"['Mondays', 'are', 'always', 'dreadful', '.', 'Why', 'are', 'Fridays', 'so', 'far', 'away', 'from', 'Monday', '!']"
If you do not find it funny esp coming from  you do not get his,yes,"['If', 'you', 'do', 'not', 'find', 'it', 'funny', 'esp', 'coming', 'from', 'you', 'do', 'not', 'get', 'his']"
is a wonderful thing,yes,"['is', 'a', 'wonderful', 'thing']"
I just love when I am asked my opinion and then told I am wrong and just trying to argue.,yes,"['I', 'just', 'love', 'when', 'I', 'am', 'asked', 'my', 'opinion', 'and', 'then', 'told', 'I', 'am', 'wrong', 'and', 'just', 'trying', 'to', 'argue', '.']"
New York,yes,"['New', 'York']"
"So, they finally found out! Hun... For me, healthy brain is way important than being rude",yes,"['So', ',', 'they', 'finally', 'found', 'out', '!', 'Hun', '...', 'For', 'me', ',', 'healthy', 'brain', 'is', 'way', 'important', 'than', 'being', 'rude']"
I love all the people that text me just because,yes,"['I', 'love', 'all', 'the', 'people', 'that', 'text', 'me', 'just', 'because']"
you have no right to dislike the biggest movie of India Baahubali and like any other small budget movie winking_face_with_tongue,yes,"['you', 'have', 'no', 'right', 'to', 'dislike', 'the', 'biggest', 'movie', 'of', 'India', 'Baahubali', 'and', 'like', 'any', 'other', 'small', 'budget', 'movie', 'winking_face_with_tongue']"
According to buzzfeed I am really  Who knew! face_with_tears_of_joy,yes,"['According', 'to', 'buzzfeed', 'I', 'am', 'really', 'Who', 'knew', '!', 'face_with_tears_of_joy']"
Its like they think they can simply buy off elected officials.,yes,"['Its', 'like', 'they', 'think', 'they', 'can', 'simply', 'buy', 'off', 'elected', 'officials', '.']"
that really is just like outer space,yes,"['that', 'really', 'is', 'just', 'like', 'outer', 'space']"
